"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"1",83,14142117,42555556,11631245,3.5e+07,5022,176,26,4.3,16367,0,4,0,8,13
"2",102,29451448,51065177,28837115,5e+07,24107,376,34,4.7,53943,0,7,0,17,3
"3",102,87570655,87177413,80360866,8e+07,5392,305,30,5.2,49098,0,1,0,2,8
"4",88,86365946,26964263,75590286,23600000,28011,998,73,7.7,426786,0,9,0,28,10
"5",162,39077724,76858659,33048353,6.5e+07,36928,966,78,7.7,353948,0,2,0,67,12
"6",157,102193707,42704949,95720716,4e+07,2759,1198,95,7.4,235120,1,87,0,171,7
"7",101,35199809,81581157,28045540,6.5e+07,32232,338,67,6.1,76203,0,2,0,3,14
"8",101,35808613,27323725,31452765,2.4e+07,638,490,56,6.6,158735,0,2,0,4,11
"9",119,174037519,97747239,115731542,6.5e+07,17768,709,57,6.6,167217,0,5,0,7,21
"10",90,17459687,20565963,15281286,1.8e+07,16004,297,63,6.5,68302,0,1,0,0,10
"11",102,23491305,54376911,21557240,49900000,45202,482,31,5.5,90107,0,1,0,3,8
"12",107,92674514,26936264,44726644,1.3e+07,1747,170,50,6.8,46727,0,1,0,2,31
"13",106,429084300,13921623,86300000,2800000,2703,444,80,8,125997,0,11,2,5,45
"14",94,17762727,13076612,16300302,1.2e+07,10575,528,71,6.3,68995,0,3,0,31,8
"15",110,91925253,65657143,75604320,5.4e+07,847,331,46,5.6,72358,0,2,0,2,13
"16",98,3650918,24730528,3247816,2.2e+07,19310,331,51,6.3,39918,0,2,0,2,9
"17",93,2869608,4729764,2426851,4e+06,776,197,64,6.5,16721,0,1,0,3,12
"18",95,51990999,10380942,40066497,8e+06,1792,305,37,3.6,24298,0,1,0,5,15
"19",113,113870301,102463969,100018837,9e+07,13446,578,54,5.5,168657,0,2,0,0,11
"20",111,13067764,1708153,9180275,1200000,4288,353,85,7.7,24635,0,30,2,41,19
"21",105,28864799,22482298,25677801,2e+07,4813,227,28,5.8,44225,0,2,0,0,9
"22",80,112601542,89929193,100169068,8e+07,4394,243,35,4.6,17886,0,2,0,0,9
"23",104,111207783,79694198,97680195,7e+07,29505,433,46,6.8,293665,0,3,0,8,11
"24",100,49515160,68553210,43337279,6e+07,12258,373,34,4.9,81296,0,0,0,1,10
"25",101,32736528,109193241,26082914,8.7e+07,993,290,37,4.4,59902,0,0,0,1,14
"26",132,192395377,95377432,141204016,7e+07,14790,928,48,5.9,158266,0,4,0,14,17
"27",132,159540518,174354825,146405371,1.6e+08,50983,1198,65,7.8,572117,0,20,0,38,8
"28",149,242199080,207082995,233914986,2e+08,91434,1291,74,8,578004,0,15,1,47,5
"29",144,158286819,181792031,154985087,1.78e+08,49684,1018,52,7,310209,0,1,0,14,3
"30",119,205525969,171383025,179883016,1.5e+08,40054,991,40,6.6,405777,0,3,0,18,10
"31",104,223910027,106759582,157299717,7.5e+07,21397,1691,64,7.4,501463,0,13,0,26,19
"32",212,41435535,104200810,25052000,6.3e+07,5708,185,47,6.7,38923,0,3,1,5,25
"33",84,20539152,16785391,15417771,12600000,3416,731,32,6.1,95386,0,0,0,3,16
"34",88,126544,1215873,104077,1e+06,4720,205,62,7.3,49315,0,9,0,6,13
"35",101,202221467,176157914,189412677,1.65e+08,4451,722,72,7.7,305140,0,33,1,41,7
"36",99,89296503,160143558,83640426,1.5e+08,16184,563,37,5.8,164004,0,2,0,2,7
"37",123,212916662,199920157,202351611,1.9e+08,32392,1649,63,7,517415,0,3,0,24,6
"38",129,85398660,76600000,70236496,6.3e+07,14421,806,66,6,71359,0,4,0,8,13
"39",104,1406912,6660870,1056102,5e+06,1315,244,43,6.6,19619,0,0,0,3,16
"40",107,27600133,78290360,19389454,5.5e+07,22974,508,73,7.4,57065,1,19,0,46,19
