ID,Pre_Treatmen.type,Pre_Date,Pre_P1,Pre_P3,Pre_P4,Pre_Pre,Pre_P5,Pre_P6,Pre_P7,Pre_P9,Post_Date,Post_P1,Post_P3,Post_P4,Post_P5,Post_P6,Post_P7,Post_P9,P2,income,spendings,Pre_Answers,Post_Answers
1,C,4/3/2019,1,7,2,0.130503789,1,1,7,1,4/23/2019,1,7,2,1,2,7,1,4/23/2000,407.8580514,253.9586791,6,12
2,C,4/3/2019,1,100,1,0.087488977,3,2,6,3,4/23/2019,1,8,1,3,2,6,5,5/5/2002,390.0476814,233.7717102,1,6
3,C,4/3/2019,1,9,1,0.802645493,1,1w,3,1,4/23/2019,1,9,1,1,1,3,1,11/15/2001,402.2571596,248.5423451,3,10
4,C,4/3/2019,1,9,1,0.534068635,2,2,3,1,4/23/2019,1,9,1,2,2,3,1,1/7/2002,398.1848421,242.2722815,3,11
5,C,4/3/2019,1,7,2,0.819014363,2,2,5,2,4/23/2019,1,7,2,2,2,5,2,8/21/2000,397.3437505,245.9658372,7,11
6,C,4/3/2019,1,9,1,0.086155485,2,2,6,2,4/23/2019,1,9,1,2,2,6,3,11/13/2000,405.0080397,252.898366,-6,8
7,C,4/3/2019,2,9,1,0.213824139,2,2,5,1,4/23/2019,2,9,1,2,3,5,1,12/17/2001,389.5407366,229.9194486,4,10
8,C,4/3/2019,2,99,100,0.341465905,1,1,5,1,4/23/2019,2,6,3,1,1,5,2,12/10/2002,393.4723668,243.7329846,3,13
9,C,4/3/2019,2,7,2,0.346514021,3,3,3,1,4/23/2019,2,7,2,2,2,3,1,6/21/2002,408.041492,255.04943,8,4
10,C,4/3/2019,1,7,2,0.590825824,3,2,4,1,4/23/2019,1,7,2,3,2,4,1,3/3/2000,411.6321123,269.0344839,6,15
11,C,4/3/2019,1,7,2,0.27130897,1,1,5,1,4/23/2019,1,7,2,2,2,5,1,9/5/2002,400.0117525,238.1600501,5,12
12,C,4/3/2019,1,8,1,0.934599612,1,2,3,1,4/23/2019,1,8,1,1,2,3,1,12/31/2001,408.5821453,261.0270548,3,8
13,C,4/3/2019,1,99,2,0.496472105,2,2w,5,1,4/23/2019,1,6,2,2,2,5,1,10/15/2001,397.5697012,256.9382977,7,8
14,C,4/3/2019,2,7,2,0.577713755,2,3,7,1,4/23/2019,2,7,2,2,3,7,1,9/30/2002,402.2146501,268.3123727,6,8
15,C,4/3/2019,1,9,1,0.721248404,3,2,5,1,4/23/2019,1,9,1,3,2,5,1,6/28/2002,400.4736485,262.6524591,7,13
16,C,4/3/2019,1,9,1,0.35992399,3,2,4,2,4/23/2019,1,9,1,3,2,4,2,6/1/2002,398.5884048,244.6115668,2,10
17,C,4/3/2019,1,9,1,0.100944881,3,3,6,1,4/23/2019,1,9,1,3,3,6,1,9/7/2001,402.9687125,243.6018536,5,13
18,C,4/3/2019,1,9,1,0.857247572,2,2,6,1,4/23/2019,1,9,1,2,2,5,2,8/11/2002,400.5019219,257.6452207,7,6
19,C,4/3/2019,1,9,1,0.788874115,3,2,7,2,4/23/2019,1,9,1,3,2,7,2,1/4/2002,411.4947875,273.8282837,4,11
20,C,4/3/2019,1,99,99,0.884945252,2,1,6,1,4/23/2019,1,9,1,2,1,6,1,12/18/2002,399.689715,260.9568952,5,10
21,C,4/3/2019,1,6,2,0.581451912,2,2,4,1,4/23/2019,1,6,2,2,2,6,1,10/25/2000,406.4534686,250.0853385,5,9
22,C,4/3/2019,1,8,2,0.917924275,2,2,7,4,4/23/2019,1,8,2,2,2,7,4,11/30/2000,397.4069734,255.0900309,3,8
23,C,4/3/2019,1,9,1,0.337777026,2,3,5,2,4/23/2019,1,9,1,2,3,5,2,10/3/2001,400.9488183,248.1681704,6,11
24,C,4/3/2019,1,99,2,0.831075347,99,99,6,5,4/23/2019,1,6,2,1,1,7,5,8/26/2000,398.7412658,240.0734781,2,9
25,C,4/3/2019,2,7,2,0.880009275,2,2,6,2,4/23/2019,2,7,2,2,2,6,2,8/5/2001,392.5114315,245.5565043,5,11
26,C,4/3/2019,1,8,2,0.30797665,2,2,6,1,4/23/2019,1,8,2,2,2,6,1,11/23/2001,402.9979512,252.3764539,3,5
27,C,4/3/2019,1,8,2,0.623102454,3,100,99,3,4/23/2019,1,7,2,2,2,6,2,NA,403.4449146,256.5850296,7,10
28,C,4/3/2019,1,8,1,0.216490635,3,2,5,1,4/23/2019,1,9,1,3,2,5,2,7/20/2001,397.5296161,243.1508567,4,9
29,C,4/3/2019,2,7,2,0.985269515,3,1,6,1,4/23/2019,2,7,2,3,1,6,1,2/11/2001,396.3022379,242.1903113,5,14
30,C,4/3/2019,2,7,2,0.01394647,1,2,4,1,4/23/2019,2,7,2,1,2,4,2,11/26/2003,397.0645059,236.3519404,5,6
31,C,4/3/2019,2,7,2,0.441713362,2,3,5,1,4/23/2019,2,7,2,2,3,5,1,11/2/2002,403.5935704,265.8732479,5,8
32,C,4/3/2019,2,6,3,0.171367812,1,2,4,1,4/23/2019,2,6,3,1,2,4,2,11/19/2001,397.7604637,253.1216185,4,12
33,C,4/3/2019,2,8,2,0.053178207,3,3,6,9,4/23/2019,2,8,2,3,3,8,9,8/25/2002,401.2367233,247.3437796,6,11
34,C,4/3/2019,1,5,3,0.803759904,1,1,5,2,4/23/2019,1,6,2,1,1,5,2,5/8/2002,400.0312372,261.225677,5,9
35,C,4/3/2019,1,9,1,0.466134163,3,3,4,1,4/23/2019,1,9,1,3,3,4,1,4/3/2000,399.2440232,248.3357133,4,9
36,C,4/3/2019,1,6,2,0.661784547,2,2,4,4,4/23/2019,1,99,2,2,2,4,5,11/12/2001,393.6888492,247.932599,5,7
37,C,4/3/2019,1,8,1,0.019204114,1,1,4,1,4/23/2019,1,9,1,2,2,4,2,6/1/2001,402.7343939,257.4827666,6,7
38,C,4/3/2019,2,9,2,0.54204778,3,3,4,1,4/23/2019,2,9,2,3,3,4,1,1/23/2002,399.0635315,253.0486699,2,12
39,C,4/3/2019,1,8,2,0.354259536,2,3,6,1,4/23/2019,1,8,2,2,3,7,2,5/18/2001,401.2413225,248.3284109,7,10
40,T2,4/29/2019,1,7,1,0.172526155,1,1,6,2,5/15/2019,1,8,1,1,1,6,2,NA,395.1917355,238.5562996,6,10
41,T2,4/29/2019,1,8,1,0.408126013,1,1,5,1,5/15/2019,1,8,1,1,1,5,1,6/4/2002,402.8293413,236.0435049,-5,9
42,T2,4/29/2019,1,8,1,0.587706147,2,2,4,1,5/15/2019,1,8,1,2,2,4,1,12/7/2001,398.3533547,249.5073517,3,9
43,T2,4/29/2019,1,9,1,0.501207066,2,1,7,1,5/15/2019,1,9,1,2,1,7,1,11/13/2001,396.6358476,229.9685075,7,11
44,T2,4/29/2019,1,9,1,0.516598699,2,,5,1,5/15/2019,1,9,1,2,2,5,1,12/13/2002,390.3314953,246.6918925,6,11
45,T2,4/29/2019,1,7,99,0.813465951,3,1,2,2,5/15/2019,1,6,99,3,1,2,2,6/8/2003,398.4633316,235.0960902,4,12
46,T2,4/29/2019,1,9,1,0.515711823,2,3,5,3,5/15/2019,1,9,1,2,3,5,3,11/21/2002,388.7879696,244.3334099,5,10
47,T2,4/29/2019,1,8,3,0.780125178,2,3,9,3,5/15/2019,1,8,1,2,3,9,3,1/20/2002,398.0149073,248.7038371,3,8
48,T2,4/29/2019,2,6,2,0.136356839,1,2,100,100,5/15/2019,2,7,2,1,2,99,5,12/1/2002,401.2784946,234.4362229,4,11
49,T2,4/29/2019,2,6,2,0.248062299,2,1,4,3,5/15/2019,2,7,2,2,2,4,3,12/4/2001,400.1862784,243.803635,3,9
50,T2,4/29/2019,2,6,2,0.817777125,3,1,100,2,5/15/2019,2,5,3,3,1,5,2,7/20/2002,394.3303837,245.6864059,1,11
51,T2,4/29/2019,2,9,1,0.295104691,3,3,4,2,5/15/2019,2,9,1,3,3,4,3,8/9/2002,404.8890215,261.426572,4,13
